nome                                        | form_type  | tipo
CARAIVA                                     | todos      | destino
CARAIVA                                     | todos      | destino
CARAIVA                                     | todos      | destino
CARAIVA                                     | todos      | destino
Comandatuba                                 | pacote     | destino
Comandatuba                                 | pacote     | destino
Coroavermelhabeach                          | pacote     | destino
Costa Delicioza                             | cruzeiro   | cruzeiro
Costa Delicioza                             | cruzeiro   | cruzeiro
Costa Deliziosa                             | cruzeiro   | cruzeiro
Costa Deliziosa                             | cruzeiro   | cruzeiro
Costa Diadema                               | cruzeiro   | cruzeiro
Costa Diadema                               | cruzeiro   | cruzeiro
Costa Didadema                              | cruzeiro   | cruzeiro
Costa Didadema                              | cruzeiro   | cruzeiro
Costa Fascinosa                             | cruzeiro   | cruzeiro
Costa Fascinosa                             | cruzeiro   | cruzeiro
Costa Favolosa                              | cruzeiro   | cruzeiro
Costa Favolosa                              | cruzeiro   | cruzeiro
Costa Favolosa (2)                          | cruzeiro   | cruzeiro
Costa Favolosa (2)                          | cruzeiro   | cruzeiro
Costa Fortuna                               | cruzeiro   | cruzeiro
Costa Fortuna                               | cruzeiro   | cruzeiro
Costa Geral                                 | cruzeiro   | cruzeiro
Costa Geral                                 | cruzeiro   | cruzeiro
Costa Pacifica                              | cruzeiro   | cruzeiro
Costa Pacifica                              | cruzeiro   | cruzeiro
Costa Serena                                | cruzeiro   | cruzeiro
Costa Serena                                | cruzeiro   | cruzeiro
Costa Smeralda                              | cruzeiro   | cruzeiro
Costa Smeralda                              | cruzeiro   | cruzeiro
Costa Smeralda                              | cruzeiro   | cruzeiro
Costa Smeralda                              | cruzeiro   | cruzeiro
Costa Toscana                               | cruzeiro   | cruzeiro
Costa Toscana                               | cruzeiro   | cruzeiro
Costa Toscana                               | cruzeiro   | cruzeiro
Costa Toscana                               | cruzeiro   | cruzeiro
Costa Toscana                               | cruzeiro   | cruzeiro
Costa Toscana                               | cruzeiro   | cruzeiro
Costa Venezia                               | cruzeiro   | cruzeiro
Costa Venezia                               | cruzeiro   | cruzeiro
Costaodosantinho                            | pacote     | destino
Costeirapalace                              | hotel      | hotel
Curacao                                     | pacote     | destino
Curaçao                                     | pacote     | destino
Curaçao                                     | pacote     | destino
Curaçao                                     | pacote     | destino
Curaçao                                     | pacote     | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
CURAÇAO                                     | todos      | destino
